"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation","url_source","project_pi","project_pi_contact"
"Micropus californicus","seed mass","0.517","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Micropus californicus","whole plant leaf area per whole plant leaf dry mass","20.8512","m2·kg-1","SLA was solely obtained via field measurements and calculated on three leaves (from separate individuals) by scanning leaves and analysing the images with Image J (Abramoff, Magalhaes & Ram 2004), petioles were excluded from the analysis. Leaf area for grasses was acquired using the leaf blade (i.e. the portion of the leaf above the sheath and ligule).","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Micropus californicus","seed mass","0.517","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Microseris douglasii","seed mass","2.13","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Microseris douglasii","whole plant height","0.14","m","We used the Jepson Manual (Jepson & Hickman 1993) for vegetative height, seed size and flowering dates and supplemented using other field guides (Smith 1952; Munz 1959), data bases [Ecological Flora Data base (http://ucjeps.berkeley.edu/efc/dbase.html)] and field measurements as needed.","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Microseris douglasii","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com"
"Microseris douglasii","whole plant growth form","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Microseris douglasii","whole plant growth form diversity","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Microseris douglasii","seed mass","1.742","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Minuartia douglasii","whole plant growth form diversity","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Minuartia douglasii","whole plant leaf area per whole plant leaf dry mass","0.123683694","m2·kg-1",NA,NA,NA,"1200-2300","http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu"
"Minuartia douglasii","leaf carbon content per leaf nitrogen content","30.5620438",NA,NA,NA,NA,"1200-2300","http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu"
"Minuartia douglasii","whole plant growth form","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Nassella pulchra","leaf carbon content per leaf nitrogen content","9.533724",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","whole plant growth form","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Nassella pulchra","whole plant growth form diversity","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Nassella pulchra","seed mass","7.3","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Nassella pulchra","seed mass","7.3","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Nassella pulchra","seed mass","7.3","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Nassella pulchra","leaf nitrogen content per leaf dry mass","29.54028","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf nitrogen content per leaf dry mass","26.46153","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","seed mass","3.875","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Nassella pulchra","seed mass","4.177","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Nassella pulchra","leaf nitrogen content per leaf dry mass","24.45049","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf nitrogen content per leaf dry mass","25.54093","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf nitrogen content per leaf dry mass","37.40623","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","seed mass","3.875","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Nassella pulchra","leaf carbon content per leaf dry mass","441.709","mg.g-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","seed mass","4.177","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Nassella pulchra","whole plant height","0.65","m","We used the Jepson Manual (Jepson & Hickman 1993) for vegetative height, seed size and flowering dates and supplemented using other field guides (Smith 1952; Munz 1959), data bases [Ecological Flora Data base (http://ucjeps.berkeley.edu/efc/dbase.html)] and field measurements as needed.","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Nassella pulchra","whole plant leaf area per whole plant leaf dry mass","5.3706","m2·kg-1","SLA was solely obtained via field measurements and calculated on three leaves (from separate individuals) by scanning leaves and analysing the images with Image J (Abramoff, Magalhaes & Ram 2004), petioles were excluded from the analysis. Leaf area for grasses was acquired using the leaf blade (i.e. the portion of the leaf above the sheath and ligule).","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Nassella pulchra","seed mass","4.03","mg","We used the Jepson Manual (Jepson & Hickman 1993) for vegetative height, seed size and flowering dates and supplemented using other field guides (Smith 1952; Munz 1959), data bases [Ecological Flora Data base (http://ucjeps.berkeley.edu/efc/dbase.html)] and field measurements as needed.","34.67528","-120.0406",NA,"http://datadryad.org/resource/doi:10.5061/dryad.50hd2","Molinari MA","molinari@lifesci.ucsb.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.006036896","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.005495262","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.00619393","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.005838794","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.005902548","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.005632082","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.004408579","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.004256827","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.003946385","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.004486935","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.004217276","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf dry mass","0.005359956","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf area","208642.5","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Nassella pulchra","leaf photosynthetic rate per leaf area","178211.9","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
